Designator,Mid X,Mid Y,Rotation,Layer
J1,163.028,-150.169,0.0,top
J2,183.028,-150.169,0.0,top
J3,171.528,-150.169,90.0,top
J4,174.528,-150.169,90.0,top
R1,173.2125,-138.65,0.0,top
